-0.01,-0.02,-0.37,-0.02,-0.07,-0.05
-0.01,-0.02,-0.37,-0.02,-0.07,-0.05
-0.31,-0.78,-10.74,-0.15,-0.31,-0.18
-0.14,-0.64,-10.67,-0.29,-0.29,-0.04
0.03,-0.83,-10.66,-0.23,-0.26,-0.09
-0.11,-0.73,-10.49,-0.27,-0.64,-0.20
-1.04,-0.25,-10.57,-0.31,-0.93,-0.26
-1.36,0.61,-9.98,-0.35,-0.69,-0.10
-1.29,0.59,-10.63,-0.33,-0.33,-0.07
-1.42,0.37,-10.31,-0.45,0.05,0.01
-1.97,0.38,-10.28,-0.26,-0.34,-0.34
-1.55,0.27,-10.46,-0.17,-0.46,-0.10
-1.78,0.18,-10.45,-0.26,-0.24,-0.05
-2.21,0.16,-10.52,-0.27,0.08,0.03
-2.11,0.57,-10.34,-0.33,0.29,0.21
-2.13,0.61,-10.15,-0.23,0.21,0.21
-2.30,0.46,-10.46,-0.16,0.18,0.07
-1.36,0.64,-10.88,-0.11,0.08,0.23
-1.27,0.46,-10.99,-0.08,-0.07,0.24
-1.02,0.38,-11.14,-0.16,-0.05,0.28
-1.29,1.02,-10.00,-0.24,-0.08,0.28
-1.64,2.43,-10.28,-0.14,0.25,0.35
-3.37,6.80,-12.45,0.15,0.47,0.23
-10.39,12.37,-19.20,0.86,0.64,0.00
-7.74,14.97,-19.91,1.70,0.48,0.38
-7.78,18.85,-7.69,-0.49,-0.29,0.79
-8.82,8.48,8.97,-0.99,0.39,0.18
1.59,-31.77,12.63,1.41,-0.11,0.30
21.70,-34.57,-20.66,5.22,3.19,2.65
26.93,-1.74,-20.51,1.54,3.75,4.04
-11.08,-10.64,-6.21,-1.70,-3.95,-2.76
-10.41,-3.13,0.40,-1.91,-2.39,-1.12
-0.66,-1.59,-6.81,-0.55,0.14,0.52
-1.33,-3.12,-10.64,0.34,0.14,-0.09
-1.40,-1.74,-9.94,0.20,-0.06,-0.20
-2.44,-2.43,-11.40,0.52,-0.60,-0.32
-1.41,-2.31,-10.92,0.41,-0.18,-0.34
-0.21,-2.04,-10.83,0.14,0.26,-0.21
-0.02,-2.87,-11.63,0.30,-0.19,-0.26
0.15,-3.75,-10.95,-0.04,-0.40,-0.36
0.39,-3.39,-9.58,-0.43,-0.23,-0.33
-0.61,-5.78,-10.50,-0.55,-0.34,-0.63
0.48,-5.06,-9.28,-0.89,-0.42,-0.49
-0.23,-4.93,-8.10,-1.14,-1.05,-0.50
-1.75,-3.62,-9.81,-0.97,-1.00,-0.46
-1.67,-1.59,-8.58,-1.38,-1.25,0.02
-3.11,1.48,-8.65,-1.69,-0.55,-0.08
-3.75,2.90,-7.68,-1.63,-0.42,0.06
-5.28,3.33,-9.34,-0.66,0.13,-0.11
-4.07,3.67,-9.77,-0.34,0.39,0.04
-1.81,1.17,-10.46,-0.10,0.20,-0.01
-1.71,1.11,-10.48,-0.17,0.21,-0.04
-1.79,1.09,-10.41,-0.23,0.11,-0.03
-1.82,1.36,-10.01,-0.17,0.10,0.02
-1.52,1.19,-10.37,0.02,0.07,0.03
-1.62,1.15,-10.60,0.01,0.02,0.05
-1.48,0.88,-10.88,-0.06,0.02,0.02
-1.50,1.02,-10.68,-0.16,-0.07,0.05
-1.60,0.93,-10.53,-0.18,-0.12,0.09
-1.74,1.06,-10.21,-0.09,-0.08,0.17
-1.63,1.12,-10.21,0.04,0.14,0.26
-1.54,1.30,-10.75,0.21,0.13,0.30
-2.82,3.13,-11.60,0.31,0.24,0.19
-6.95,7.39,-13.43,0.35,0.38,0.37
-6.42,11.78,-13.59,0.93,0.71,0.96
-9.96,19.70,-10.80,1.37,0.72,1.26
-7.22,16.40,2.52,0.55,1.30,0.87
0.79,-11.26,9.46,2.26,0.24,1.20
9.25,-48.13,-3.66,3.51,1.65,0.48
29.93,-10.75,-29.23,4.68,4.27,4.43
3.00,-9.36,-12.22,-1.04,-1.90,0.27
-8.57,-6.92,-2.71,-2.91,-2.17,-1.83
-2.09,-2.27,-4.25,-1.40,-0.10,0.07
-1.00,-4.88,-12.53,0.95,-0.53,0.18
